symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,,,,,,,,
ZNM4,5,1,0.015625,49137413285,49137413297,1,110 210,110 215,$15.62,03/21/2024 11:29:55,03/21/2024 11:30:43,48sec,,,,,,,,
ZNM4,5,1,0.015625,49137413288,49137413297,1,110 210,110 215,$15.62,03/21/2024 11:29:55,03/21/2024 11:30:43,48sec,,,,,,,,
ZNM4,5,1,0.015625,49137413313,49137413322,2,110 215,110 220,$31.25,03/21/2024 11:32:54,03/21/2024 11:34:19,1min 24sec,,,,,,,,
ZNM4,5,1,0.015625,49137413362,49137413371,1,110 170,110 175,$15.62,03/22/2024 10:09:25,03/22/2024 10:09:40,15sec,,,,,,,,
ZNM4,5,1,0.015625,49137413387,49137413371,1,110 175,110 175,$0.00,03/22/2024 10:11:09,03/22/2024 10:09:40,1min 28sec,,,,,,,,
ZNM4,5,1,0.015625,49137413401,49137413443,1,110 180,110 180,$0.00,03/22/2024 10:18:15,03/22/2024 10:22:50,4min 34sec,,,,,,,,
ZNM4,5,1,0.015625,49137413404,49137413460,1,110 180,110 185,$15.62,03/22/2024 10:18:15,03/22/2024 10:24:47,6min 31sec,,,,,,,,
ZNM4,5,1,0.015625,49137413531,49137413540,1,110 180,110 185,$15.62,03/22/2024 11:00:15,03/22/2024 11:00:27,11sec,,,,,,,,
ZNM4,5,1,0.015625,49137413593,49137413623,1,110 185,110 190,$15.62,03/22/2024 11:10:07,03/22/2024 11:14:24,4min 17sec,,,,,,,,
ZNM4,5,1,0.015625,49137413640,49137413652,1,110 185,110 190,$15.62,03/22/2024 11:26:19,03/22/2024 11:29:35,3min 15sec,,,,,,,,
ZNM4,5,1,0.015625,49137413643,49137413657,1,110 185,110 190,$15.62,03/22/2024 11:26:19,03/22/2024 11:29:35,3min 15sec,,,,,,,,
ZNM4,5,1,0.015625,49137413703,49137413723,1,110 215,110 215,$0.00,03/25/2024 11:18:35,03/25/2024 11:25:45,7min 9sec,,,,,,,,
ZNM4,5,1,0.015625,49137413791,49137413763,1,110 180,110 180,$0.00,03/26/2024 10:22:09,03/26/2024 10:14:45,7min 24sec,,,,,,,,
ZNM4,5,1,0.015625,49137413796,49137413773,1,110 180,110 185,$15.62,03/26/2024 10:22:09,03/26/2024 10:19:22,2min 46sec,,,,,,,,
ZNM4,5,1,0.015625,49137413828,49137413816,1,110 190,110 195,$15.62,03/26/2024 10:42:37,03/26/2024 10:42:12,24sec,,,,,,,,
ZNM4,5,1,0.015625,49137413899,49137413881,1,110 200,110 205,$15.62,03/26/2024 11:18:13,03/26/2024 11:14:42,3min 30sec,,,,,,,,
ZNM4,5,1,0.015625,49137413904,49137413884,1,110 200,110 205,$15.62,03/26/2024 11:18:13,03/26/2024 11:14:42,3min 30sec,,,,,,,,
ZNM4,5,1,0.015625,49137413968,49137413977,2,110 200,110 205,$31.25,03/27/2024 10:11:10,03/27/2024 10:11:40,30sec,,,,,,,,
ZNM4,5,1,0.015625,49137414000,49137414021,2,110 190,110 195,$31.25,03/27/2024 10:46:29,03/27/2024 10:48:06,1min 36sec,,,,,,,,
ZNM4,5,1,0.015625,49137414104,49137414095,2,110 190,110 195,$31.25,03/27/2024 11:42:20,03/27/2024 11:42:16,3sec,,,,,,,,
ZNM4,5,1,0.015625,49137414132,49137414141,2,110 220,110 225,$31.25,03/28/2024 10:08:45,03/28/2024 10:10:23,1min 38sec,,,,,,,,
ZNM4,5,1,0.015625,49137414206,49137414179,2,110 215,110 215,$0.00,03/28/2024 10:37:45,03/28/2024 10:30:19,7min 26sec,,,,,,,,
ZNM4,5,1,0.015625,49137414325,49137414307,1,110 200,110 205,$15.62,03/28/2024 11:43:48,03/28/2024 11:41:56,1min 51sec,,,,,,,,
ZNM4,5,1,0.015625,49137414330,49137414316,1,110 200,110 205,$15.62,03/28/2024 11:43:48,03/28/2024 11:42:12,1min 36sec,,,,,,,,
ZNM4,5,1,0.015625,49137414484,49137414459,1,110 000,110 000,$0.00,04/02/2024 10:00:52,04/02/2024 10:00:36,15sec,,,,,,,,
ZNM4,5,1,0.015625,49137414566,49137414581,5,110 005,110 005,$0.00,04/02/2024 10:41:05,04/02/2024 10:43:02,1min 57sec,,,,,,,,
ZNM4,5,1,0.015625,49137414757,49137414769,5,109 195,109 200,$78.12,04/03/2024 09:22:19,04/03/2024 09:23:10,50sec,,,,,,,,
ZNM4,5,1,0.015625,49137414783,49137414795,5,109 195,109 200,$78.12,04/03/2024 09:30:17,04/03/2024 09:31:01,43sec,,,,,,,,
ZNM4,5,1,0.015625,49137414812,49137414824,5,109 190,109 195,$78.12,04/03/2024 09:38:37,04/03/2024 09:39:41,1min 4sec,,,,,,,,
ZNM4,5,1,0.015625,49137414921,49137414909,5,109 240,109 240,$0.00,04/04/2024 08:44:21,04/04/2024 08:41:05,3min 15sec,,,,,,,,
ZNM4,5,1,0.015625,49137414932,49137414915,5,109 240,109 245,$78.12,04/04/2024 08:47:12,04/04/2024 08:44:19,2min 52sec,,,,,,,,
ZNM4,5,1,0.015625,49137414952,49137414961,5,109 220,109 225,$78.12,04/04/2024 09:26:24,04/04/2024 09:29:31,3min 7sec,,,,,,,,
